sub	ses	b0_n_targets	b0_n_fill	b0_n_trials	b0_n_acc	b0_p_acc	b0_n_target_hit	b0_p_target_hit	b0_n_target_miss	b0_p_target_miss	b0_n_fill_corr	b0_p_fill_corr	b0_n_fill_fa	b0_p_fill_fa	b0_p_target_ba	b0_rt_mean_target_hit	b0_rt_med_target_hit	b1_n_targets	b1_n_fill	b1_n_trials	b1_n_acc	b1_p_acc	b1_n_target_hit	b1_p_target_hit	b1_n_target_miss	b1_p_target_miss	b1_n_fill_corr	b1_p_fill_corr	b1_n_fill_fa	b1_p_fill_fa	b1_p_target_ba	b1_rt_mean_target_hit	b1_rt_med_target_hit	b2_n_targets	b2_n_fill	b2_n_trials	b2_n_acc	b2_p_acc	b2_n_target_hit	b2_p_target_hit	b2_n_target_miss	b2_p_target_miss	b2_n_fill_corr	b2_p_fill_corr	b2_n_fill_fa	b2_p_fill_fa	b2_p_target_ba	b2_rt_mean_target_hit	b2_rt_med_target_hit
104	1	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	665.188	665.5	16.0	44.0	60.0	57.0	95.0	16.0	100.0	0.0	0.0	41.0	93.182	3.0	6.818	96.591	806.688	859.5	16.0	44.0	60.0	51.0	85.0	8.0	50.0	8.0	50.0	43.0	97.727	1.0	2.273	73.864	1175.25	1097.0
105	1	16.0	44.0	60.0	58.0	96.667	16.0	100.0	0.0	0.0	42.0	95.455	2.0	4.545	97.727	566.25	568.0	16.0	44.0	60.0	57.0	95.0	15.0	93.75	1.0	6.25	42.0	95.455	2.0	4.545	94.602	790.933	789.0	16.0	44.0	60.0	49.0	81.667	6.0	37.5	10.0	62.5	43.0	97.727	1.0	2.273	67.614	768.833	607.0
106	1	16.0	44.0	60.0	57.0	95.0	16.0	100.0	0.0	0.0	41.0	93.182	3.0	6.818	96.591	706.5	663.5	16.0	44.0	60.0	52.0	86.667	12.0	75.0	4.0	25.0	40.0	90.909	4.0	9.091	82.955	1009.583	923.5	16.0	44.0	60.0	53.0	88.333	9.0	56.25	7.0	43.75	44.0	100.0	0.0	0.0	78.125	808.0	632.0
107	1	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	809.688	815.5	16.0	44.0	60.0	56.0	93.333	12.0	75.0	4.0	25.0	44.0	100.0	0.0	0.0	87.5	842.5	739.5	16.0	44.0	60.0	49.0	81.667	9.0	56.25	7.0	43.75	40.0	90.909	4.0	9.091	73.58	761.111	737.0
109	1	16.0	44.0	60.0	58.0	96.667	16.0	100.0	0.0	0.0	42.0	95.455	2.0	4.545	97.727	752.188	669.0	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	837.75	771.5	16.0	44.0	60.0	47.0	78.333	6.0	37.5	10.0	62.5	41.0	93.182	3.0	6.818	65.341	1147.667	1171.0
111	1	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	562.188	557.0	16.0	44.0	60.0	58.0	96.667	15.0	93.75	1.0	6.25	43.0	97.727	1.0	2.273	95.739	657.867	618.0	16.0	44.0	60.0	51.0	85.0	7.0	43.75	9.0	56.25	44.0	100.0	0.0	0.0	71.875	740.714	597.0
112	1	16.0	44.0	60.0	59.0	98.333	15.0	93.75	1.0	6.25	44.0	100.0	0.0	0.0	96.875	778.933	761.0	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	856.062	770.0	16.0	44.0	60.0	54.0	90.0	10.0	62.5	6.0	37.5	44.0	100.0	0.0	0.0	81.25	787.7	765.0
113	1	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	663.0	688.5	16.0	44.0	60.0	58.0	96.667	16.0	100.0	0.0	0.0	42.0	95.455	2.0	4.545	97.727	702.188	670.0	16.0	44.0	60.0	59.0	98.333	15.0	93.75	1.0	6.25	44.0	100.0	0.0	0.0	96.875	783.267	714.0
114	1	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	720.562	656.5	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	708.375	714.5	16.0	44.0	60.0	57.0	95.0	15.0	93.75	1.0	6.25	42.0	95.455	2.0	4.545	94.602	1191.667	1177.0
115	1	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	697.688	678.5	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	967.375	911.5	16.0	44.0	60.0	51.0	85.0	7.0	43.75	9.0	56.25	44.0	100.0	0.0	0.0	71.875	1147.714	802.0
116	1	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	697.875	705.0	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	994.062	1040.5	16.0	44.0	60.0	50.0	83.333	7.0	43.75	9.0	56.25	43.0	97.727	1.0	2.273	70.739	911.0	861.0
117	1	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	575.562	594.5	16.0	44.0	60.0	59.0	98.333	15.0	93.75	1.0	6.25	44.0	100.0	0.0	0.0	96.875	782.2	772.0	16.0	44.0	60.0	55.0	91.667	13.0	81.25	3.0	18.75	42.0	95.455	2.0	4.545	88.352	753.077	709.0
118	1	16.0	44.0	60.0	57.0	95.0	16.0	100.0	0.0	0.0	41.0	93.182	3.0	6.818	96.591	686.5	633.0	16.0	44.0	60.0	56.0	93.333	12.0	75.0	4.0	25.0	44.0	100.0	0.0	0.0	87.5	736.083	614.5	16.0	44.0	60.0	52.0	86.667	8.0	50.0	8.0	50.0	44.0	100.0	0.0	0.0	75.0	1103.5	965.5
119	1	16.0	44.0	60.0	57.0	95.0	13.0	81.25	3.0	18.75	44.0	100.0	0.0	0.0	90.625	592.923	574.0	16.0	44.0	60.0	59.0	98.333	15.0	93.75	1.0	6.25	44.0	100.0	0.0	0.0	96.875	705.0	722.0	16.0	44.0	60.0	48.0	80.0	4.0	25.0	12.0	75.0	44.0	100.0	0.0	0.0	62.5	832.25	642.5
120	1	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	671.875	545.0	16.0	44.0	60.0	58.0	96.667	15.0	93.75	1.0	6.25	43.0	97.727	1.0	2.273	95.739	776.6	779.0	16.0	44.0	60.0	58.0	96.667	14.0	87.5	2.0	12.5	44.0	100.0	0.0	0.0	93.75	937.071	892.0
121	1	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	700.688	751.0	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	765.5	751.5	16.0	44.0	60.0	55.0	91.667	12.0	75.0	4.0	25.0	43.0	97.727	1.0	2.273	86.364	958.75	974.5
122	1	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	719.5	697.5	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	1006.875	950.5	16.0	44.0	60.0	53.0	88.333	10.0	62.5	6.0	37.5	43.0	97.727	1.0	2.273	80.114	934.6	893.0
123	1	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	541.312	533.5	16.0	44.0	60.0	57.0	95.0	13.0	81.25	3.0	18.75	44.0	100.0	0.0	0.0	90.625	773.846	800.0	16.0	44.0	60.0	54.0	90.0	11.0	68.75	5.0	31.25	43.0	97.727	1.0	2.273	83.239	603.818	456.0
124	1	16.0	44.0	60.0	58.0	96.667	16.0	100.0	0.0	0.0	42.0	95.455	2.0	4.545	97.727	706.062	620.5	16.0	44.0	60.0	58.0	96.667	15.0	93.75	1.0	6.25	43.0	97.727	1.0	2.273	95.739	819.6	768.0	16.0	44.0	60.0	52.0	86.667	9.0	56.25	7.0	43.75	43.0	97.727	1.0	2.273	76.989	709.111	704.0
125	1	16.0	44.0	60.0	59.0	98.333	15.0	93.75	1.0	6.25	44.0	100.0	0.0	0.0	96.875	578.0	522.0	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	748.062	740.5	16.0	44.0	60.0	56.0	93.333	12.0	75.0	4.0	25.0	44.0	100.0	0.0	0.0	87.5	880.083	853.0
126	1	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	780.625	704.0	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	748.562	703.5	16.0	44.0	60.0	54.0	90.0	12.0	75.0	4.0	25.0	42.0	95.455	2.0	4.545	85.227	709.333	666.0
1	2	16.0	44.0	60.0	56.0	93.333	14.0	87.5	2.0	12.5	42.0	95.455	2.0	4.545	91.477	680.857	549.5	16.0	44.0	60.0	57.0	95.0	13.0	81.25	3.0	18.75	44.0	100.0	0.0	0.0	90.625	836.231	794.0	16.0	44.0	60.0	58.0	96.667	15.0	93.75	1.0	6.25	43.0	97.727	1.0	2.273	95.739	785.333	700.0
2	2	16.0	44.0	60.0	59.0	98.333	15.0	93.75	1.0	6.25	44.0	100.0	0.0	0.0	96.875	642.2	620.0	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	690.125	768.0	16.0	44.0	60.0	51.0	85.0	10.0	62.5	6.0	37.5	41.0	93.182	3.0	6.818	77.841	829.2	676.0
3	2	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	582.688	586.5	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	625.938	570.5	16.0	44.0	60.0	56.0	93.333	15.0	93.75	1.0	6.25	41.0	93.182	3.0	6.818	93.466	812.0	798.0
5	2	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	554.438	562.0	16.0	44.0	60.0	58.0	96.667	16.0	100.0	0.0	0.0	42.0	95.455	2.0	4.545	97.727	782.25	754.5	16.0	44.0	60.0	58.0	96.667	15.0	93.75	1.0	6.25	43.0	97.727	1.0	2.273	95.739	1008.8	974.0
6	2	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	490.375	461.0	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	655.188	648.0																
7	2	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	737.875	690.5	16.0	44.0	60.0	58.0	96.667	15.0	93.75	1.0	6.25	43.0	97.727	1.0	2.273	95.739	670.067	631.0	16.0	44.0	60.0	50.0	83.333	15.0	93.75	1.0	6.25	35.0	79.545	9.0	20.455	86.648	1145.2	1001.0
11	2	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	462.875	446.5	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	545.875	493.0	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	541.062	559.0
17	2	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	655.938	601.5	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	694.875	695.0	16.0	44.0	60.0	58.0	96.667	14.0	87.5	2.0	12.5	44.0	100.0	0.0	0.0	93.75	777.0	640.0
18	2	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	589.062	573.0	16.0	44.0	60.0	57.0	95.0	15.0	93.75	1.0	6.25	42.0	95.455	2.0	4.545	94.602	614.667	568.0	16.0	44.0	60.0	59.0	98.333	15.0	93.75	1.0	6.25	44.0	100.0	0.0	0.0	96.875	619.733	547.0
19	2	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	549.375	540.0	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	686.125	664.0	16.0	44.0	60.0	54.0	90.0	15.0	93.75	1.0	6.25	39.0	88.636	5.0	11.364	91.193	745.067	687.0
20	2	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	885.688	828.0	16.0	44.0	60.0	58.0	96.667	15.0	93.75	1.0	6.25	43.0	97.727	1.0	2.273	95.739	950.267	977.0	16.0	44.0	60.0	58.0	96.667	15.0	93.75	1.0	6.25	43.0	97.727	1.0	2.273	95.739	899.0	909.0
21	2	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	626.812	568.0	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	624.188	613.5	16.0	44.0	60.0	56.0	93.333	13.0	81.25	3.0	18.75	43.0	97.727	1.0	2.273	89.489	856.231	908.0
22	2	16.0	44.0	60.0	59.0	98.333	15.0	93.75	1.0	6.25	44.0	100.0	0.0	0.0	96.875	717.667	673.0	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	817.312	824.0	16.0	44.0	60.0	53.0	88.333	11.0	68.75	5.0	31.25	42.0	95.455	2.0	4.545	82.102	837.273	699.0
23	2	16.0	44.0	60.0	59.0	98.333	15.0	93.75	1.0	6.25	44.0	100.0	0.0	0.0	96.875	1002.0	981.0	16.0	44.0	60.0	58.0	96.667	14.0	87.5	2.0	12.5	44.0	100.0	0.0	0.0	93.75	831.286	858.0	16.0	44.0	60.0	52.0	86.667	14.0	87.5	2.0	12.5	38.0	86.364	6.0	13.636	86.932	1001.929	968.5
26	2	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	733.25	748.0	16.0	44.0	60.0	58.0	96.667	15.0	93.75	1.0	6.25	43.0	97.727	1.0	2.273	95.739	828.333	769.0	16.0	44.0	60.0	55.0	91.667	12.0	75.0	4.0	25.0	43.0	97.727	1.0	2.273	86.364	933.417	1009.0
28	2	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	506.0	488.0	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	549.5	534.5	16.0	44.0	60.0	58.0	96.667	14.0	87.5	2.0	12.5	44.0	100.0	0.0	0.0	93.75	673.643	689.5
33	2	16.0	44.0	60.0	58.0	96.667	16.0	100.0	0.0	0.0	42.0	95.455	2.0	4.545	97.727	651.438	674.5	16.0	44.0	60.0	56.0	93.333	15.0	93.75	1.0	6.25	41.0	93.182	3.0	6.818	93.466	745.8	818.0	16.0	44.0	60.0	47.0	78.333	7.0	43.75	9.0	56.25	40.0	90.909	4.0	9.091	67.33	715.857	713.0
35	2	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	656.375	638.0	16.0	44.0	60.0	57.0	95.0	13.0	81.25	3.0	18.75	44.0	100.0	0.0	0.0	90.625	888.308	875.0	16.0	44.0	60.0	54.0	90.0	10.0	62.5	6.0	37.5	44.0	100.0	0.0	0.0	81.25	968.6	934.5
36	2	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	462.625	478.5	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	607.688	562.5	16.0	44.0	60.0	56.0	93.333	12.0	75.0	4.0	25.0	44.0	100.0	0.0	0.0	87.5	654.083	608.0
37	2	16.0	44.0	60.0	58.0	96.667	16.0	100.0	0.0	0.0	42.0	95.455	2.0	4.545	97.727	725.188	722.5	16.0	44.0	60.0	59.0	98.333	15.0	93.75	1.0	6.25	44.0	100.0	0.0	0.0	96.875	810.0	756.0	16.0	44.0	60.0	44.0	73.333	11.0	68.75	5.0	31.25	33.0	75.0	11.0	25.0	71.875	822.091	863.0
38	2																	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	488.938	478.0	16.0	44.0	60.0	58.0	96.667	15.0	93.75	1.0	6.25	43.0	97.727	1.0	2.273	95.739	543.2	419.0
39	2	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	750.062	682.5	16.0	44.0	60.0	58.0	96.667	15.0	93.75	1.0	6.25	43.0	97.727	1.0	2.273	95.739	773.867	693.0	16.0	44.0	60.0	53.0	88.333	12.0	75.0	4.0	25.0	41.0	93.182	3.0	6.818	84.091	819.333	781.0
40	2	16.0	44.0	60.0	58.0	96.667	16.0	100.0	0.0	0.0	42.0	95.455	2.0	4.545	97.727	535.375	510.0	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	543.312	535.0	16.0	44.0	60.0	56.0	93.333	12.0	75.0	4.0	25.0	44.0	100.0	0.0	0.0	87.5	621.667	546.0
41	2	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	430.625	398.0	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	482.0	404.0	16.0	44.0	60.0	53.0	88.333	9.0	56.25	7.0	43.75	44.0	100.0	0.0	0.0	78.125	616.222	684.0
43	2	16.0	44.0	60.0	57.0	95.0	16.0	100.0	0.0	0.0	41.0	93.182	3.0	6.818	96.591	496.062	508.5	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	637.188	508.5	16.0	44.0	60.0	55.0	91.667	13.0	81.25	3.0	18.75	42.0	95.455	2.0	4.545	88.352	691.538	659.0
45	2	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	442.562	428.0	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	560.188	468.5	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	435.688	418.5
49	2	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	484.188	447.5	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	586.188	568.0	16.0	44.0	60.0	49.0	81.667	5.0	31.25	11.0	68.75	44.0	100.0	0.0	0.0	65.625	649.6	640.0
51	2	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	730.5	710.5	16.0	44.0	60.0	57.0	95.0	15.0	93.75	1.0	6.25	42.0	95.455	2.0	4.545	94.602	739.467	759.0	16.0	44.0	60.0	54.0	90.0	11.0	68.75	5.0	31.25	43.0	97.727	1.0	2.273	83.239	726.909	648.0
52	2	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	589.188	560.0	16.0	44.0	60.0	59.0	98.333	15.0	93.75	1.0	6.25	44.0	100.0	0.0	0.0	96.875	521.867	507.0	16.0	44.0	60.0	49.0	81.667	5.0	31.25	11.0	68.75	44.0	100.0	0.0	0.0	65.625	472.6	452.0
54	2	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	578.75	563.0	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	754.562	723.5	16.0	44.0	60.0	51.0	85.0	8.0	50.0	8.0	50.0	43.0	97.727	1.0	2.273	73.864	735.5	762.0
55	2	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	621.688	587.5	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	786.375	780.0	16.0	44.0	60.0	51.0	85.0	7.0	43.75	9.0	56.25	44.0	100.0	0.0	0.0	71.875	795.857	862.0
68	2	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	616.25	592.0	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	695.438	594.5	16.0	44.0	60.0	59.0	98.333	15.0	93.75	1.0	6.25	44.0	100.0	0.0	0.0	96.875	748.467	757.0
71	2	16.0	44.0	60.0	55.0	91.667	16.0	100.0	0.0	0.0	39.0	88.636	5.0	11.364	94.318	604.125	591.0	16.0	44.0	60.0	57.0	95.0	16.0	100.0	0.0	0.0	41.0	93.182	3.0	6.818	96.591	708.0	722.0	16.0	44.0	60.0	49.0	81.667	8.0	50.0	8.0	50.0	41.0	93.182	3.0	6.818	71.591	849.625	666.0
74	2	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	435.812	452.5	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	532.938	531.0	16.0	44.0	60.0	57.0	95.0	15.0	93.75	1.0	6.25	42.0	95.455	2.0	4.545	94.602	563.0	455.0
78	2	16.0	44.0	60.0	57.0	95.0	15.0	93.75	1.0	6.25	42.0	95.455	2.0	4.545	94.602	580.933	504.0	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	599.75	551.0	16.0	44.0	60.0	56.0	93.333	13.0	81.25	3.0	18.75	43.0	97.727	1.0	2.273	89.489	699.538	609.0
80	2	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	491.062	467.0	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	568.062	547.0	16.0	44.0	60.0	58.0	96.667	14.0	87.5	2.0	12.5	44.0	100.0	0.0	0.0	93.75	601.929	607.0
83	2	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	559.312	569.5	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	613.0	486.0	16.0	44.0	60.0	53.0	88.333	9.0	56.25	7.0	43.75	44.0	100.0	0.0	0.0	78.125	616.444	562.0
84	2	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	494.375	502.0	16.0	44.0	60.0	55.0	91.667	14.0	87.5	2.0	12.5	41.0	93.182	3.0	6.818	90.341	587.571	587.0	16.0	44.0	60.0	51.0	85.0	7.0	43.75	9.0	56.25	44.0	100.0	0.0	0.0	71.875	888.143	1046.0
89	2	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	567.812	567.5	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	563.938	538.5	16.0	44.0	60.0	56.0	93.333	12.0	75.0	4.0	25.0	44.0	100.0	0.0	0.0	87.5	757.583	697.5
93	2	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	572.625	538.0	16.0	44.0	60.0	41.0	68.333	10.0	62.5	6.0	37.5	31.0	70.455	13.0	29.545	66.477	644.9	535.5	16.0	44.0	60.0	48.0	80.0	5.0	31.25	11.0	68.75	43.0	97.727	1.0	2.273	64.489	756.0	784.0
94	2	16.0	44.0	60.0	58.0	96.667	16.0	100.0	0.0	0.0	42.0	95.455	2.0	4.545	97.727	678.688	606.0	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	683.938	625.0	16.0	44.0	60.0	51.0	85.0	7.0	43.75	9.0	56.25	44.0	100.0	0.0	0.0	71.875	931.571	677.0
95	2	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	459.125	447.5	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	714.688	667.5	16.0	44.0	60.0	50.0	83.333	10.0	62.5	6.0	37.5	40.0	90.909	4.0	9.091	76.705	907.1	938.0
96	2	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	441.562	456.0	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	553.688	560.5	16.0	44.0	60.0	54.0	90.0	12.0	75.0	4.0	25.0	42.0	95.455	2.0	4.545	85.227	796.417	795.5
