sub	ses	block	earth_rt_mean	earth_rt_median	earth_n_miss	earth_p_miss	planet_rt_mean	planet_rt_median	planet_n_miss	planet_p_miss	reward_rate	avg_reward	reward_rate_corrected	prob_sameplanet_earthsame	prob_sameplanet_earthdif
119	1	b2	1278.762	1369.991	1	0.04	506.04	479.409	2	0.08	7.261	5.4	1.861	0.786	0.556
119	1	b3	1233.248	1400.404	1	0.04	631.904	589.505	1	0.04	4.458	4.32	0.138	0.8	0.714
119	1	b4	960.841	844.603	2	0.08	563.128	444.536	3	0.12	4.955	4.66	0.295	0.625	0.643
120	1	b1	987.702	921.091	1	0.04	741.632	731.777	1	0.04	4.333	4.44	-0.107	0.5	0.2
120	1	b2	1167.983	1219.719	5	0.2	774.042	755.662	6	0.24	4.421	4.36	0.061	0.5	0.091
120	1	b3	856.873	842.165	2	0.08	612.028	522.146	3	0.12	4.5	5.1	-0.6	0.6	0.5
120	1	b4	1013.142	946.967	4	0.16	739.097	689.66	4	0.16	5.429	4.36	1.069	0.5	0.222
121	1	b1	1186.645	1155.215	3	0.12	761.898	677.179	4	0.16	4.381	3.84	0.541	0.6	0.455
121	1	b2	1215.178	1151.957	4	0.16	836.453	659.383	6	0.24	4.421	4.7	-0.279	0.6	0.333
121	1	b3	1184.045	1282.259	5	0.2	733.877	699.736	5	0.2	5.0	4.74	0.26	0.6	0.7
121	1	b4	1300.855	1254.865	1	0.04	714.461	646.253	2	0.08	4.304	4.62	-0.316	0.538	0.7
1	2	b1	776.977	697.989	0	0.0	513.407	472.781	0	0.0	5.8	4.96	0.84	0.375	0.412
1	2	b2	575.253	452.962	3	0.12	362.673	386.03	4	0.16	5.19	4.54	0.65	0.357	0.571
1	2	b3	883.113	737.02	0	0.0	397.533	339.693	2	0.08	4.87	4.92	-0.05	0.583	0.455
1	2	b4	596.628	549.447	0	0.0	521.699	445.428	0	0.0	5.04	5.02	0.02	0.417	0.462
2	2	b1	990.408	1002.499	1	0.04	497.433	521.683	2	0.08	3.87	3.88	-0.01	0.462	0.3
2	2	b2	1072.338	1076.377	1	0.04	648.117	597.353	1	0.04	3.625	3.02	0.605	0.333	0.533
2	2	b3	771.505	675.098	0	0.0	639.78	528.452	1	0.04	6.75	6.8	-0.05	0.364	0.538
2	2	b4	801.469	808.238	1	0.04	678.538	654.271	1	0.04	5.083	5.06	0.023	0.154	0.364
3	2	b1	954.259	886.55	0	0.0	632.806	628.468	0	0.0	4.28	4.68	-0.4	0.75	0.588
3	2	b2	915.481	922.216	0	0.0	599.923	612.836	0	0.0	4.04	4.02	0.02	0.8	0.7
3	2	b3	929.947	889.094	0	0.0	672.882	615.743	0	0.0	6.76	5.98	0.78	0.846	0.833
3	2	b4	961.967	878.089	0	0.0	605.342	544.62	0	0.0	5.76	4.88	0.88	0.667	0.615
5	2	b1	878.719	909.917	1	0.04	888.246	744.877	2	0.08	3.87	3.74	0.13	0.222	0.357
5	2	b2	1037.477	1028.217	0	0.0	775.267	720.411	0	0.0	4.88	4.98	-0.1	0.4	0.533
5	2	b3	992.58	1027.71	1	0.04	732.455	617.476	1	0.04	3.208	3.4	-0.192	0.5	0.75
5	2	b4	894.024	922.578	0	0.0	862.075	780.694	0	0.0	4.44	4.28	0.16	0.429	0.273
6	2	b1	798.002	767.914	2	0.08	709.811	700.636	2	0.08	6.13	5.96	0.17	0.846	0.6
6	2	b2	889.876	790.504	1	0.04	695.308	615.53	2	0.08	5.652	3.68	1.972	0.75	0.8
6	2	b3	775.263	794.857	0	0.0	651.206	592.645	0	0.0	4.68	4.48	0.2	0.8	0.533
6	2	b4	793.095	788.861	0	0.0	627.263	595.056	1	0.04	5.875	5.76	0.115	1.0	0.692
7	2	b1	1191.548	1223.011	1	0.04	577.115	526.13	1	0.04	4.292	3.48	0.812	0.533	0.333
7	2	b2	1314.402	1290.386	1	0.04	685.33	712.089	1	0.04	6.5	5.62	0.88	0.7	0.571
7	2	b3	1033.113	1059.999	2	0.08	630.289	622.888	2	0.08	4.739	4.66	0.079	0.667	0.286
7	2	b4	886.96	984.144	2	0.08	726.472	787.142	2	0.08	5.652	5.34	0.312	0.556	0.357
9	2	b1	941.731	873.112	0	0.0	575.768	521.403	1	0.04	3.25	3.54	-0.29	0.636	0.538
9	2	b2	772.646	645.476	0	0.0	440.687	390.651	0	0.0	3.4	3.46	-0.06	0.364	0.357
9	2	b3	684.801	575.061	1	0.04	441.878	355.502	1	0.04	5.958	5.4	0.558	0.4	0.5
9	2	b4	713.078	652.599	0	0.0	306.506	324.38	0	0.0	6.08	6.28	-0.2	0.462	0.5
11	2	b1	804.248	778.42	0	0.0	471.298	458.714	0	0.0	6.16	4.78	1.38	0.875	0.778
11	2	b2	820.833	836.944	0	0.0	520.994	525.745	0	0.0	6.56	5.84	0.72	0.769	0.917
11	2	b3	968.564	959.333	0	0.0	482.692	434.712	0	0.0	3.92	3.58	0.34	0.889	0.438
11	2	b4	798.935	760.462	0	0.0	408.933	403.932	0	0.0	4.8	3.74	1.06	0.8	0.667
17	2	b1	620.302	539.124	0	0.0	597.292	610.726	0	0.0	5.4	5.18	0.22	0.538	0.583
17	2	b2	1025.045	957.579	0	0.0	819.397	705.34	0	0.0	4.04	4.32	-0.28	0.462	0.5
17	2	b3	851.817	805.746	0	0.0	568.859	552.361	0	0.0	6.8	6.3	0.5	0.615	0.333
17	2	b4	727.298	793.73	1	0.04	673.64	598.621	2	0.08	4.565	4.1	0.465	0.5	0.385
18	2	b1	931.599	850.969	0	0.0	744.439	662.078	0	0.0	5.8	5.52	0.28	0.462	0.75
18	2	b2	982.909	859.116	0	0.0	747.88	782.022	0	0.0	5.92	5.66	0.26	0.5	0.385
18	2	b3	932.296	933.702	1	0.04	730.456	666.102	1	0.04	6.0	5.62	0.38	0.455	0.385
18	2	b4	778.767	742.734	0	0.0	639.99	561.982	1	0.04	6.042	4.22	1.822	0.571	0.6
19	2	b1	892.818	830.709	1	0.04	539.016	547.908	1	0.04	4.125	3.92	0.205	0.545	0.308
19	2	b2	846.228	785.605	0	0.0	582.764	526.253	0	0.0	4.24	4.26	-0.02	0.375	0.412
19	2	b3	693.312	669.727	0	0.0	551.933	445.83	1	0.04	5.125	5.32	-0.195	0.583	0.167
19	2	b4	568.293	490.833	0	0.0	505.835	501.0	1	0.04	3.417	3.16	0.257	0.444	0.267
20	2	b1	1035.917	1045.351	2	0.08	543.092	553.646	2	0.08	3.391	3.84	-0.449	0.5	0.308
20	2	b2	1164.267	1196.895	3	0.12	893.308	764.979	4	0.16	5.714	5.66	0.054	0.667	0.778
20	2	b3	1063.787	977.702	1	0.04	723.711	735.184	1	0.04	3.125	3.06	0.065	0.417	0.0
20	2	b4	929.302	965.078	2	0.08	669.299	609.694	3	0.12	2.909	3.16	-0.251	0.333	0.385
21	2	b1	942.244	888.902	1	0.04	750.377	753.189	1	0.04	5.083	3.72	1.363	0.625	0.375
21	2	b2	1028.071	1025.973	0	0.0	838.191	833.389	0	0.0	5.64	4.48	1.16	0.688	0.556
21	2	b3	890.384	885.461	0	0.0	785.01	766.629	0	0.0	2.84	2.62	0.22	0.273	0.5
21	2	b4	860.357	828.424	0	0.0	837.15	826.836	0	0.0	5.76	5.0	0.76	0.538	0.417
23	2	b1	1046.688	1069.541	4	0.16	657.488	616.03	4	0.16	4.524	4.58	-0.056	0.3	0.273
23	2	b2	1064.792	1086.313	0	0.0	679.461	607.22	0	0.0	2.88	2.98	-0.1	0.556	0.429
23	2	b3	1122.993	1149.643	2	0.08	716.261	617.898	2	0.08	6.304	6.02	0.284	0.333	0.529
23	2	b4	1138.482	1051.931	0	0.0	880.698	881.755	1	0.04	5.792	5.54	0.252	0.75	0.5
26	2	b1	1049.199	1001.499	0	0.0	565.061	590.673	0	0.0	3.64	3.84	-0.2	0.5	0.385
26	2	b2	1078.294	1132.534	1	0.04	460.118	481.725	2	0.08	6.043	5.46	0.583	0.429	0.444
26	2	b3	951.69	918.733	0	0.0	533.781	556.04	1	0.04	7.042	6.58	0.462	0.462	0.545
26	2	b4	1036.734	918.362	0	0.0	589.354	591.826	0	0.0	5.16	4.56	0.6	0.6	0.467
28	2	b1	937.945	727.551	0	0.0	633.613	521.13	1	0.04	5.708	4.6	1.108	0.692	0.545
28	2	b2	953.253	914.239	1	0.04	669.941	548.615	2	0.08	5.391	4.62	0.771	0.6	0.625
28	2	b3	959.812	959.053	1	0.04	593.653	532.043	1	0.04	6.458	5.76	0.698	0.222	0.467
28	2	b4	843.283	856.63	0	0.0	649.936	711.065	0	0.0	6.76	4.82	1.94	0.778	0.75
33	2	b1	1033.119	963.773	2	0.08	590.567	553.747	2	0.08	2.826	3.26	-0.434	0.3	0.385
33	2	b2	853.724	826.751	3	0.12	530.062	497.576	4	0.16	3.667	3.7	-0.033	0.4	0.182
33	2	b3	1000.084	959.429	0	0.0	524.853	461.066	0	0.0	4.2	3.96	0.24	0.417	0.231
33	2	b4	915.389	881.918	1	0.04	649.924	466.424	1	0.04	5.042	5.06	-0.018	0.5	0.3
35	2	b1	834.053	851.837	1	0.04	970.29	930.776	3	0.12	4.773	4.44	0.333	0.143	0.133
35	2	b2	1006.535	898.025	0	0.0	765.249	740.386	2	0.08	3.304	3.12	0.184	0.667	0.5
35	2	b3	837.055	816.717	1	0.04	908.968	876.759	1	0.04	3.542	3.16	0.382	0.533	0.222
35	2	b4	834.397	766.604	0	0.0	778.726	786.881	1	0.04	5.042	4.94	0.102	0.273	0.462
37	2	b1	1227.811	1282.322	6	0.24	658.745	631.583	6	0.24	5.895	5.16	0.735	0.7	0.222
37	2	b2	1265.95	1248.086	4	0.16	643.573	621.1	4	0.16	2.571	2.66	-0.089	0.364	0.2
37	2	b3	1242.667	1268.032	1	0.04	675.042	639.079	1	0.04	5.125	4.14	0.985	0.571	0.3
37	2	b4	1269.874	1146.528	1	0.04	697.98	629.823	1	0.04	3.417	3.24	0.177	0.6	0.444
38	2	b1	657.428	627.429	0	0.0	441.904	400.5	0	0.0	6.96	5.46	1.5	0.867	0.7
38	2	b2	762.977	726.03	0	0.0	444.855	458.025	0	0.0	6.48	5.22	1.26	0.833	0.692
38	2	b3	675.461	639.233	0	0.0	412.544	359.725	0	0.0	6.44	4.68	1.76	0.9	0.733
38	2	b4	599.471	531.189	0	0.0	371.715	333.486	0	0.0	5.56	4.22	1.34	0.923	0.75
39	2	b1	984.843	928.133	3	0.12	629.888	587.129	3	0.12	3.773	3.94	-0.167	0.273	0.455
39	2	b2	897.28	780.974	0	0.0	603.64	512.887	0	0.0	3.52	3.98	-0.46	0.364	0.571
39	2	b3	938.378	949.607	1	0.04	666.104	547.572	1	0.04	4.333	4.12	0.213	0.3	0.286
39	2	b4	1071.682	948.942	1	0.04	532.311	443.407	1	0.04	5.167	5.4	-0.233	0.167	0.583
40	2	b1	708.64	694.464	1	0.04	675.547	608.744	1	0.04	3.292	3.12	0.172	0.2	0.571
40	2	b2	628.131	568.908	0	0.0	498.438	372.269	0	0.0	4.76	5.16	-0.4	0.438	0.667
40	2	b3	772.757	689.649	0	0.0	537.971	436.956	0	0.0	5.0	4.2	0.8	0.6	0.667
40	2	b4	639.608	593.104	0	0.0	522.419	413.697	1	0.04	6.25	6.2	0.05	0.462	0.455
41	2	b1	708.233	652.852	0	0.0	582.037	503.566	0	0.0	4.28	3.68	0.6	0.5	0.231
41	2	b2	811.003	751.413	0	0.0	428.798	395.001	0	0.0	5.32	4.36	0.96	0.615	0.417
41	2	b3	742.052	735.877	0	0.0	393.362	387.443	0	0.0	3.76	3.36	0.4	0.643	0.364
41	2	b4	782.734	765.476	1	0.04	385.238	356.071	1	0.04	4.917	4.64	0.277	0.643	0.5
43	2	b1	946.789	973.304	1	0.04	505.738	505.166	1	0.04	5.083	4.32	0.763	0.333	0.583
43	2	b2	898.681	867.275	0	0.0	482.743	468.73	0	0.0	3.52	3.22	0.3	0.462	0.583
43	2	b3	884.604	833.941	0	0.0	445.725	449.879	0	0.0	5.48	4.88	0.6	0.8	0.6
43	2	b4	968.915	888.579	0	0.0	410.026	386.356	0	0.0	6.08	4.76	1.32	0.786	0.636
45	2	b1	911.352	879.045	1	0.04	391.752	344.902	1	0.04	4.625	4.08	0.545	0.571	0.4
45	2	b2	888.931	859.219	0	0.0	393.482	369.606	0	0.0	4.4	4.14	0.26	0.364	0.643
45	2	b3	799.468	730.156	0	0.0	431.886	342.432	0	0.0	4.36	3.68	0.68	0.4	0.333
45	2	b4	827.406	822.457	0	0.0	378.74	369.047	0	0.0	4.84	4.74	0.1	0.6	0.267
49	2	b1	654.051	548.168	0	0.0	480.733	424.797	1	0.04	5.125	4.9	0.225	0.455	0.231
49	2	b2	631.422	602.699	2	0.08	355.695	356.671	3	0.12	5.727	6.26	-0.533	0.615	0.556
49	2	b3	804.648	892.942	0	0.0	498.896	397.392	0	0.0	3.28	3.2	0.08	0.529	0.625
49	2	b4	590.085	516.505	1	0.04	429.191	366.06	1	0.04	3.042	3.0	0.042	0.667	0.333
51	2	b1	617.1	436.678	0	0.0	518.569	518.292	1	0.04	3.083	2.48	0.603	0.25	0.688
51	2	b2	752.864	706.977	1	0.04	635.069	497.179	2	0.08	5.609	5.26	0.349	0.636	0.5
51	2	b3	723.247	568.358	0	0.0	502.191	478.796	1	0.04	4.0	4.38	-0.38	0.615	0.545
51	2	b4	605.118	411.532	0	0.0	507.743	446.379	1	0.04	4.167	4.18	-0.013	0.364	0.462
52	2	b1	1284.838	1407.156	2	0.08	555.583	464.404	2	0.08	2.739	3.24	-0.501	0.571	0.333
52	2	b2	1377.493	1427.715	1	0.04	492.034	381.85	1	0.04	4.625	4.86	-0.235	0.462	0.636
52	2	b3	1405.204	1406.118	2	0.08	455.615	341.662	3	0.12	4.545	4.24	0.305	0.8	0.294
52	2	b4	1344.158	1348.631	4	0.16	361.581	329.93	4	0.16	5.0	5.5	-0.5	0.556	0.333
54	2	b1	1257.258	1174.91	2	0.08	591.403	515.724	2	0.08	4.87	4.38	0.49	0.6	0.385
54	2	b2	1333.708	1304.014	0	0.0	476.909	423.335	0	0.0	4.2	3.84	0.36	0.357	0.636
54	2	b3	1334.959	1418.721	2	0.08	449.936	380.812	3	0.12	5.909	5.4	0.509	0.714	0.467
54	2	b4	1053.333	1036.313	2	0.08	448.625	413.279	2	0.08	6.739	6.28	0.459	0.8	0.462
55	2	b1	887.652	816.118	0	0.0	646.394	627.879	0	0.0	2.96	2.7	0.26	0.5	0.533
55	2	b2	770.565	716.245	0	0.0	734.492	667.449	0	0.0	6.52	4.9	1.62	1.0	0.765
55	2	b3	904.535	855.782	0	0.0	772.601	717.469	0	0.0	5.36	4.86	0.5	0.9	0.733
55	2	b4	928.515	861.797	0	0.0	641.776	621.063	0	0.0	5.28	4.72	0.56	0.8	0.8
68	2	b1	1131.933	1049.068	1	0.04	869.201	843.026	1	0.04	6.375	4.8	1.575	0.625	0.562
68	2	b2	1167.175	1117.044	4	0.16	802.524	669.9	4	0.16	5.333	4.66	0.673	0.333	0.167
68	2	b3	1257.369	1325.733	2	0.08	957.338	955.816	5	0.2	4.05	4.58	-0.53	0.455	0.222
68	2	b4	1317.81	1311.455	2	0.08	801.965	750.267	3	0.12	5.909	5.38	0.529	1.0	0.417
71	2	b1	826.241	761.177	0	0.0	415.046	157.942	0	0.0	4.24	4.02	0.22	0.846	0.5
71	2	b2	925.885	919.738	0	0.0	143.665	23.841	1	0.04	3.375	2.62	0.755	0.615	0.273
71	2	b3	781.922	825.464	0	0.0	125.508	1.401	1	0.04	4.833	4.7	0.133	0.545	0.385
71	2	b4	677.355	671.185	0	0.0	1.074	1.055	0	0.0	4.32	3.68	0.64	0.727	0.643
73	2	b1	616.114	560.533	0	0.0	727.187	726.935	2	0.08	4.435	3.96	0.475	0.471	0.167
73	2	b2	781.87	705.856	1	0.04	1003.949	920.736	4	0.16	5.571	5.4	0.171	0.583	0.111
73	2	b3	726.789	697.236	0	0.0	766.827	762.725	1	0.04	6.25	5.96	0.29	0.5	0.188
73	2	b4	759.088	709.987	1	0.04	858.08	750.094	1	0.04	3.958	3.8	0.158	0.333	0.556
74	2	b1	683.298	567.535	0	0.0	533.478	504.81	0	0.0	5.52	5.82	-0.3	0.444	0.5
74	2	b2	821.281	742.761	1	0.04	567.788	528.683	1	0.04	4.708	4.64	0.068	0.375	0.375
74	2	b3	894.185	875.289	0	0.0	536.618	472.953	0	0.0	4.52	4.6	-0.08	0.625	0.471
74	2	b4	707.561	663.967	0	0.0	583.714	473.752	0	0.0	5.04	4.82	0.22	0.667	0.3
78	2	b1	923.104	770.616	0	0.0	628.849	585.957	0	0.0	4.36	4.06	0.3	0.556	0.5
78	2	b2	736.178	705.392	0	0.0	546.788	483.09	0	0.0	7.2	6.92	0.28	0.733	0.6
78	2	b3	586.85	557.532	0	0.0	474.78	407.441	0	0.0	6.64	5.34	1.3	0.462	0.5
78	2	b4	599.294	605.207	0	0.0	449.857	370.812	0	0.0	4.56	3.92	0.64	0.545	0.429
80	2	b1	804.613	814.859	0	0.0	456.365	461.298	0	0.0	4.68	3.4	1.28	0.583	0.769
80	2	b2	1074.219	1083.245	0	0.0	586.043	539.323	0	0.0	6.08	5.64	0.44	0.9	0.533
80	2	b3	972.209	844.771	2	0.08	452.725	454.719	2	0.08	4.435	3.46	0.975	0.75	0.4
80	2	b4	986.781	894.546	0	0.0	519.593	474.198	0	0.0	4.52	3.96	0.56	0.571	0.556
83	2	b1	954.995	887.557	1	0.04	573.444	508.297	1	0.04	3.292	3.12	0.172	0.353	0.571
83	2	b2	784.189	697.031	0	0.0	636.322	541.087	0	0.0	4.56	4.24	0.32	0.615	0.5
83	2	b3	881.034	735.732	0	0.0	574.849	494.525	0	0.0	3.96	3.76	0.2	0.545	0.429
83	2	b4	793.371	738.084	1	0.04	634.838	497.67	1	0.04	5.167	5.36	-0.193	0.2	0.571
84	2	b1	702.564	658.564	0	0.0	480.764	454.924	0	0.0	3.48	3.96	-0.48	0.385	0.583
84	2	b2	661.039	617.567	1	0.04	506.352	474.096	1	0.04	4.417	4.56	-0.143	0.538	0.455
84	2	b3	655.821	576.606	0	0.0	602.538	552.477	0	0.0	3.64	4.14	-0.5	0.231	0.417
84	2	b4	589.177	579.901	0	0.0	631.48	590.4	0	0.0	3.72	3.18	0.54	0.636	0.357
89	2	b1	789.13	679.654	0	0.0	591.7	542.006	1	0.04	5.667	5.3	0.367	0.5	0.5
89	2	b2	634.181	548.328	0	0.0	663.802	601.946	0	0.0	4.68	4.74	-0.06	0.429	0.545
89	2	b3	714.342	655.872	0	0.0	512.256	404.179	0	0.0	1.96	2.0	-0.04	0.556	0.312
89	2	b4	608.022	494.359	0	0.0	542.131	427.65	1	0.04	5.208	4.98	0.228	0.375	0.188
93	2	b1	1044.261	1038.168	0	0.0	563.107	563.839	0	0.0	4.64	4.2	0.44	0.545	0.357
93	2	b2	754.733	728.24	4	0.16	668.309	621.096	5	0.2	5.85	4.96	0.89	0.375	0.333
93	2	b3	788.166	719.972	2	0.08	676.171	643.051	3	0.12	4.364	4.44	-0.076	0.364	0.545
93	2	b4	1152.224	1012.471	5	0.2	686.644	557.832	5	0.2	3.95	3.58	0.37	0.4	0.4
94	2	b1	608.156	523.003	2	0.08	220.504	50.42	2	0.08	3.609	4.14	-0.531	0.545	0.417
94	2	b2	825.206	962.854	1	0.04	378.61	361.092	1	0.04	3.125	2.26	0.865	0.636	0.538
94	2	b3	946.443	896.764	1	0.04	264.529	267.999	1	0.04	3.25	3.02	0.23	0.444	0.4
94	2	b4	1023.186	910.57	0	0.0	366.534	301.238	0	0.0	5.12	4.62	0.5	0.538	0.417
95	2	b1	1010.419	968.317	0	0.0	537.766	459.562	0	0.0	4.32	4.4	-0.08	0.143	0.389
95	2	b2	1160.196	1084.324	0	0.0	590.283	515.475	0	0.0	4.96	4.84	0.12	0.154	0.25
95	2	b3	1004.135	850.1	3	0.12	527.129	477.181	3	0.12	4.955	4.7	0.255	0.167	0.438
95	2	b4	1025.495	993.515	2	0.08	509.242	483.674	2	0.08	5.478	4.72	0.758	0.125	0.467
96	2	b1	722.943	662.219	0	0.0	404.691	320.88	0	0.0	3.88	3.36	0.52	0.467	0.5
96	2	b2	585.907	484.173	1	0.04	450.171	363.06	2	0.08	5.565	5.72	-0.155	0.6	0.538
96	2	b3	859.815	862.312	2	0.08	574.002	630.528	2	0.08	3.217	3.48	-0.263	0.3	0.538
96	2	b4	639.049	497.315	0	0.0	564.123	497.447	0	0.0	5.04	4.82	0.22	0.571	0.545
